Age,Sex,province,education,total_count,education_level
"All ages, 15-plus",Male,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),6690,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",10700,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),1055,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",60690,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",9875,Other
"All ages, 15-plus",Female,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),15765,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),2790,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",17160,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),2015,University certificate or diploma below bachelor level
25 to 64,Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",74315,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",8950,Other
25 to 64,Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),18665,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),6255,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",20975,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),1860,University certificate or diploma below bachelor level
25 to 64,Male,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",35620,"Highest certificate, diploma or degree"
25 to 64,Male,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",5550,Other
25 to 64,Male,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),9735,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),4445,Apprenticeship or trades certificate or diploma
25 to 64,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",8235,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),720,University certificate or diploma below bachelor level
25 to 64,Female,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",38695,"Highest certificate, diploma or degree"
25 to 64,Female,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",3405,Other
25 to 64,Female,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),8935,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),1810,Apprenticeship or trades certificate or diploma
25 to 64,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",12740,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),1140,University certificate or diploma below bachelor level
25 to 34,Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",15145,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",1000,Other
25 to 34,Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),4025,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),845,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",4005,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),260,University certificate or diploma below bachelor level
25 to 34,Male,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",7370,"Highest certificate, diploma or degree"
25 to 34,Male,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",590,Other
25 to 34,Male,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),2450,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),600,Apprenticeship or trades certificate or diploma
25 to 34,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1685,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),105,University certificate or diploma below bachelor level
25 to 34,Female,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",7775,"Highest certificate, diploma or degree"
25 to 34,Female,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",405,Other
25 to 34,Female,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),1575,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),245,Apprenticeship or trades certificate or diploma
25 to 34,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2320,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),155,University certificate or diploma below bachelor level
35 to 44,Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",16830,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",1275,Other
35 to 44,Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),3890,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),1155,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",5505,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),420,University certificate or diploma below bachelor level
35 to 44,Male,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",7890,"Highest certificate, diploma or degree"
35 to 44,Male,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",830,Other
35 to 44,Male,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),2070,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),775,Apprenticeship or trades certificate or diploma
35 to 44,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2405,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),215,University certificate or diploma below bachelor level
35 to 44,Female,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",8940,"Highest certificate, diploma or degree"
35 to 44,Female,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",445,Other
35 to 44,Female,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),1820,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),380,Apprenticeship or trades certificate or diploma
35 to 44,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3100,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),210,University certificate or diploma below bachelor level
45 to 54,Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",20585,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",2700,Other
45 to 54,Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),5050,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),1865,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",6010,"College, CEGEP or other non-university certificate or diploma"
